date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-11-17,289647.0,80987.0,489959.0
2019-11-18,286618.0,91115.0,535390.0
2019-11-19,294963.0,90765.0,548474.0
2019-11-20,279302.0,87487.0,522430.0
2019-11-21,301343.0,91352.0,556896.0
2019-11-22,333067.0,94658.0,602387.0
2019-11-23,325178.0,88209.0,557930.0
2019-11-24,295934.0,85685.0,507112.0
2019-11-25,308261.0,99458.0,572728.0
2019-11-26,314215.0,105993.0,591275.0
2019-11-27,290413.0,110525.0,573496.0
2019-11-28,150290.0,61384.0,291637.0
2019-11-29,276069.0,83792.0,543359.0
2019-11-30,278054.0,79069.0,502079.0
2019-12-01,248581.0,76970.0,448454.0
2019-12-02,279404.0,92927.0,538065.0
2019-12-03,288922.0,92928.0,546671.0
2019-12-04,274713.0,87640.0,520272.0
2019-12-05,314170.0,95240.0,585877.0
2019-12-06,332941.0,96782.0,613395.0
2019-12-07,312013.0,91374.0,566919.0
2019-12-08,264555.0,83877.0,482557.0
2019-12-09,287144.0,96838.0,553167.0
2019-12-10,300763.0,96996.0,571785.0
2019-12-11,306715.0,96283.0,577378.0
2019-12-12,322934.0,97378.0,599997.0
2019-12-13,353580.0,101263.0,648555.0
2019-12-14,339519.0,94653.0,602125.0
2019-12-15,291879.0,88248.0,523132.0
2019-12-16,305818.0,102079.0,588014.0
2019-12-17,304961.0,98681.0,584084.0
2019-12-18,322185.0,104204.0,615178.0
2019-12-19,334266.0,104683.0,628840.0
2019-12-20,351084.0,104240.0,652520.0
2019-12-21,335680.0,101624.0,619054.0
2019-12-22,300341.0,98361.0,559159.0
2019-12-23,304403.0,120235.0,630207.0
2019-12-24,262444.0,106510.0,525845.0
2019-12-25,162710.0,39717.0,253994.0
2019-12-26,266471.0,82245.0,506363.0
2019-12-27,316288.0,88738.0,569072.0
2019-12-28,322210.0,83433.0,549923.0
2019-12-29,297479.0,78272.0,495221.0
2019-12-30,325187.0,108554.0,615590.0
2019-12-31,319889.0,109764.0,587920.0
2020-01-01,233628.0,51943.0,366706.0
2020-01-02,298728.0,90239.0,548098.0
2020-01-03,328549.0,94947.0,594229.0
2020-01-04,314754.0,86236.0,542575.0
2020-01-05,269414.0,79710.0,465676.0
2020-01-06,287623.0,93676.0,540849.0
2020-01-07,301218.0,95224.0,562135.0
2020-01-08,313482.0,98033.0,583702.0
2020-01-09,319785.0,98074.0,592575.0
2020-01-10,356990.0,101259.0,642705.0
2020-01-11,334482.0,91396.0,577995.0
2020-01-12,289209.0,85860.0,501458.0
2020-01-13,273510.0,87934.0,511701.0
2020-01-14,283776.0,87847.0,520394.0
2020-01-15,310566.0,96055.0,574067.0
2020-01-16,294850.0,87958.0,540045.0
2020-01-17,331358.0,92271.0,590754.0
2020-01-18,336999.0,91472.0,580213.0
2020-01-19,299076.0,83010.0,503968.0
2020-01-20,264554.0,86678.0,496943.0
2020-01-21,285318.0,87908.0,524721.0
2020-01-22,298645.0,89631.0,545053.0
2020-01-23,305273.0,89832.0,551113.0
2020-01-24,333932.0,92575.0,594001.0
2020-01-25,297359.0,74815.0,493627.0
2020-01-26,268730.0,76958.0,455235.0
2020-01-27,284109.0,89607.0,527558.0
2020-01-28,267624.0,80166.0,485589.0
2020-01-29,273028.0,81327.0,495275.0
2020-01-30,301822.0,88132.0,544637.0
2020-01-31,341306.0,95510.0,610232.0
2020-02-01,312889.0,85231.0,531602.0
2020-02-02,218354.0,72842.0,385704.0
2020-02-03,256718.0,81102.0,474648.0
2020-02-04,263802.0,79584.0,479104.0
2020-02-05,273539.0,80292.0,486587.0
2020-02-06,274964.0,79177.0,491914.0
2020-02-07,329035.0,88649.0,569419.0
2020-02-08,328053.0,85745.0,549523.0
2020-02-09,251384.0,75732.0,429490.0
2020-02-10,267943.0,86359.0,502042.0
2020-02-11,266575.0,81392.0,485852.0
2020-02-12,273775.0,83714.0,502051.0
2020-02-13,284099.0,90719.0,524305.0
2020-02-14,326798.0,90750.0,580042.0
2020-02-15,307282.0,76548.0,513501.0
2020-02-16,272719.0,69253.0,445306.0
2020-02-17,244635.0,74765.0,444219.0
2020-02-18,255096.0,75731.0,459896.0
2020-02-19,272867.0,80121.0,487821.0
2020-02-20,290375.0,81955.0,515504.0
2020-02-21,311102.0,83873.0,541810.0
2020-02-22,295309.0,77049.0,500124.0
2020-02-23,260585.0,73770.0,438825.0
2020-02-24,273450.0,85012.0,500797.0
2020-02-25,172831.0,51839.0,319733.0
2020-02-26,291007.0,86537.0,529149.0
2020-02-27,285655.0,83002.0,515764.0
2020-02-28,310808.0,86864.0,550648.0
2020-02-29,299337.0,79643.0,505648.0
2020-03-01,236419.0,72609.0,411372.0
2020-03-02,250317.0,84170.0,469565.0
2020-03-03,259660.0,80813.0,471638.0
2020-03-04,252551.0,79190.0,461545.0
2020-03-05,262424.0,81726.0,478895.0
2020-03-06,290115.0,84000.0,516010.0
2020-03-07,283370.0,77824.0,482074.0
2020-03-08,234070.0,68950.0,398452.0
2020-03-09,239198.0,80367.0,443695.0
2020-03-10,224640.0,75571.0,422524.0
2020-03-11,238655.0,82138.0,444822.0
2020-03-12,218510.0,89469.0,430121.0
2020-03-13,242527.0,114963.0,496894.0
2020-03-14,195471.0,89505.0,392209.0
2020-03-15,162688.0,70502.0,314015.0
2020-03-16,145655.0,76667.0,328653.0
2020-03-17,137141.0,69341.0,303696.0
2020-03-18,128486.0,64678.0,282065.0
2020-03-19,117681.0,61452.0,264029.0
2020-03-20,90875.0,45152.0,197462.0
2020-03-21,65931.0,29811.0,130867.0
2020-03-22,84749.0,42004.0,167583.0
2020-03-23,103809.0,52068.0,222780.0
2020-03-24,107867.0,52010.0,226353.0
2020-03-25,120070.0,56068.0,247825.0
2020-03-26,102500.0,47217.0,209717.0
2020-03-27,104052.0,48344.0,212807.0
2020-03-28,94748.0,45457.0,185956.0
2020-03-29,81456.0,38856.0,155035.0
2020-03-30,98274.0,47266.0,205109.0
2020-03-31,95010.0,46063.0,197463.0
2020-04-01,94946.0,47120.0,200956.0
2020-04-02,93614.0,47062.0,199522.0
2020-04-03,106485.0,51228.0,221912.0
2020-04-04,92708.0,46802.0,187149.0
2020-04-05,72873.0,37546.0,145728.0
2020-04-06,77859.0,42753.0,174786.0
2020-04-07,77693.0,39579.0,170077.0
2020-04-08,81744.0,41595.0,177237.0
2020-04-09,74212.0,38942.0,163661.0
