INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2020-06-25T16:00:00-00:00,2020-06-25T17:00:00-00:00,LOAD,2020-06-25,10,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,11478.88,5
2020-06-25T15:00:00-00:00,2020-06-25T16:00:00-00:00,LOAD,2020-06-25,9,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,11369.7,5
2020-06-25T10:00:00-00:00,2020-06-25T11:00:00-00:00,LOAD,2020-06-25,4,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,10051.4,5
2020-06-25T20:00:00-00:00,2020-06-25T21:00:00-00:00,LOAD,2020-06-25,14,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,13347.22,5
2020-06-25T22:00:00-00:00,2020-06-25T23:00:00-00:00,LOAD,2020-06-25,16,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,14750.03,5
2020-06-25T19:00:00-00:00,2020-06-25T20:00:00-00:00,LOAD,2020-06-25,13,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,12613.74,5
2020-06-25T11:00:00-00:00,2020-06-25T12:00:00-00:00,LOAD,2020-06-25,5,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,10070.29,5
2020-06-26T04:00:00-00:00,2020-06-26T05:00:00-00:00,LOAD,2020-06-25,22,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,14605.11,5
2020-06-25T13:00:00-00:00,2020-06-25T14:00:00-00:00,LOAD,2020-06-25,7,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,10843.04,5
2020-06-25T12:00:00-00:00,2020-06-25T13:00:00-00:00,LOAD,2020-06-25,6,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,10381.47,5
2020-06-26T05:00:00-00:00,2020-06-26T06:00:00-00:00,LOAD,2020-06-25,23,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,13440.21,5
2020-06-25T21:00:00-00:00,2020-06-25T22:00:00-00:00,LOAD,2020-06-25,15,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,14010.13,5
2020-06-25T09:00:00-00:00,2020-06-25T10:00:00-00:00,LOAD,2020-06-25,3,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,10277.98,5
2020-06-26T06:00:00-00:00,2020-06-26T07:00:00-00:00,LOAD,2020-06-25,24,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,12287.63,5
2020-06-26T03:00:00-00:00,2020-06-26T04:00:00-00:00,LOAD,2020-06-25,21,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,15703.44,5
2020-06-26T00:00:00-00:00,2020-06-26T01:00:00-00:00,LOAD,2020-06-25,18,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,16239.27,5
2020-06-25T18:00:00-00:00,2020-06-25T19:00:00-00:00,LOAD,2020-06-25,12,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,12123.02,5
2020-06-25T17:00:00-00:00,2020-06-25T18:00:00-00:00,LOAD,2020-06-25,11,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,11709.33,5
2020-06-25T14:00:00-00:00,2020-06-25T15:00:00-00:00,LOAD,2020-06-25,8,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,11208.66,5
2020-06-25T07:00:00-00:00,2020-06-25T08:00:00-00:00,LOAD,2020-06-25,1,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,11344.89,5
2020-06-26T02:00:00-00:00,2020-06-26T03:00:00-00:00,LOAD,2020-06-25,20,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,16277.22,5
2020-06-26T01:00:00-00:00,2020-06-26T02:00:00-00:00,LOAD,2020-06-25,19,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,16442.24,5
2020-06-25T23:00:00-00:00,2020-06-26T00:00:00-00:00,LOAD,2020-06-25,17,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,15327.5,5
2020-06-25T08:00:00-00:00,2020-06-25T09:00:00-00:00,LOAD,2020-06-25,2,0,DAM,TAC_NORTH,Load,TOT_LOAD_MW,8,10702.93,5
2020-06-25T14:00:00-00:00,2020-06-25T15:00:00-00:00,LOAD,2020-06-25,8,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2169.36,6
2020-06-25T12:00:00-00:00,2020-06-25T13:00:00-00:00,LOAD,2020-06-25,6,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,1996.66,6
2020-06-25T23:00:00-00:00,2020-06-26T00:00:00-00:00,LOAD,2020-06-25,17,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2283.63,6
2020-06-26T02:00:00-00:00,2020-06-26T03:00:00-00:00,LOAD,2020-06-25,20,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2576.14,6
2020-06-25T10:00:00-00:00,2020-06-25T11:00:00-00:00,LOAD,2020-06-25,4,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,1919.65,6
2020-06-25T20:00:00-00:00,2020-06-25T21:00:00-00:00,LOAD,2020-06-25,14,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,1891.38,6
2020-06-25T15:00:00-00:00,2020-06-25T16:00:00-00:00,LOAD,2020-06-25,9,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2239.75,6
2020-06-25T21:00:00-00:00,2020-06-25T22:00:00-00:00,LOAD,2020-06-25,15,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2005.17,6
2020-06-26T01:00:00-00:00,2020-06-26T02:00:00-00:00,LOAD,2020-06-25,19,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2561.35,6
2020-06-26T04:00:00-00:00,2020-06-26T05:00:00-00:00,LOAD,2020-06-25,22,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2552.57,6
2020-06-25T09:00:00-00:00,2020-06-25T10:00:00-00:00,LOAD,2020-06-25,3,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,1954.45,6
2020-06-25T11:00:00-00:00,2020-06-25T12:00:00-00:00,LOAD,2020-06-25,5,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,1934.15,6
2020-06-25T13:00:00-00:00,2020-06-25T14:00:00-00:00,LOAD,2020-06-25,7,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2075.99,6
2020-06-25T17:00:00-00:00,2020-06-25T18:00:00-00:00,LOAD,2020-06-25,11,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2052.88,6
2020-06-25T18:00:00-00:00,2020-06-25T19:00:00-00:00,LOAD,2020-06-25,12,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,1903.38,6
2020-06-25T19:00:00-00:00,2020-06-25T20:00:00-00:00,LOAD,2020-06-25,13,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,1844.83,6
2020-06-26T00:00:00-00:00,2020-06-26T01:00:00-00:00,LOAD,2020-06-25,18,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2459.2,6
2020-06-26T03:00:00-00:00,2020-06-26T04:00:00-00:00,LOAD,2020-06-25,21,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2627.7,6
2020-06-25T07:00:00-00:00,2020-06-25T08:00:00-00:00,LOAD,2020-06-25,1,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2092.54,6
2020-06-25T22:00:00-00:00,2020-06-25T23:00:00-00:00,LOAD,2020-06-25,16,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2136.2,6
2020-06-26T06:00:00-00:00,2020-06-26T07:00:00-00:00,LOAD,2020-06-25,24,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2192.77,6
2020-06-25T08:00:00-00:00,2020-06-25T09:00:00-00:00,LOAD,2020-06-25,2,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2022.11,6
2020-06-26T05:00:00-00:00,2020-06-26T06:00:00-00:00,LOAD,2020-06-25,23,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2365.27,6
2020-06-25T16:00:00-00:00,2020-06-25T17:00:00-00:00,LOAD,2020-06-25,10,0,DAM,TAC_SOUTH,Load,TOT_LOAD_MW,8,2205.41,6
