Time Stamp,Time Zone,Fuel Category,Gen MWh
07/19/2017 03:35:00,EDT,Wind,271.0
07/19/2017 03:35:00,EDT,Hydro,2804.0
07/19/2017 03:40:00,EDT,Dual Fuel,3234.0
07/19/2017 03:40:00,EDT,Natural Gas,3022.0
07/19/2017 03:40:00,EDT,Nuclear,5277.0
07/19/2017 03:40:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:40:00,EDT,Other Renewables,288.0
07/19/2017 03:40:00,EDT,Wind,278.0
07/19/2017 03:40:00,EDT,Hydro,2811.0
07/19/2017 03:45:00,EDT,Dual Fuel,3195.0
07/19/2017 03:45:00,EDT,Natural Gas,3022.0
07/19/2017 03:45:00,EDT,Nuclear,5278.0
07/19/2017 03:45:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:45:00,EDT,Other Renewables,287.0
07/19/2017 03:45:00,EDT,Wind,281.0
07/19/2017 03:45:00,EDT,Hydro,2809.0
07/19/2017 03:50:00,EDT,Dual Fuel,3160.0
07/19/2017 03:50:00,EDT,Natural Gas,3019.0
07/19/2017 03:50:00,EDT,Nuclear,5276.0
07/19/2017 03:50:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:50:00,EDT,Other Renewables,289.0
07/19/2017 03:50:00,EDT,Wind,285.0
07/19/2017 03:50:00,EDT,Hydro,2809.0
07/19/2017 03:55:00,EDT,Dual Fuel,3142.0
07/19/2017 03:55:00,EDT,Natural Gas,3013.0
07/19/2017 03:55:00,EDT,Nuclear,5278.0
07/19/2017 03:55:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:55:00,EDT,Other Renewables,286.0
07/19/2017 03:55:00,EDT,Wind,290.0
07/19/2017 03:55:00,EDT,Hydro,2815.0
07/19/2017 04:00:00,EDT,Dual Fuel,3098.0
07/19/2017 04:00:00,EDT,Natural Gas,2996.0
07/19/2017 04:00:00,EDT,Nuclear,5277.0
07/19/2017 04:00:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:00:00,EDT,Other Renewables,289.0
07/19/2017 04:00:00,EDT,Wind,297.0
07/19/2017 04:00:00,EDT,Hydro,2796.0
07/19/2017 04:05:00,EDT,Dual Fuel,3099.0
07/19/2017 04:05:00,EDT,Natural Gas,3015.0
07/19/2017 04:05:00,EDT,Nuclear,5279.0
07/19/2017 04:05:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:05:00,EDT,Other Renewables,290.0
07/19/2017 04:05:00,EDT,Wind,303.0
07/19/2017 04:05:00,EDT,Hydro,2811.0
07/19/2017 04:10:00,EDT,Dual Fuel,3104.0
07/19/2017 04:10:00,EDT,Natural Gas,3025.0
07/19/2017 04:10:00,EDT,Nuclear,5277.0
07/19/2017 04:10:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:10:00,EDT,Other Renewables,291.0
07/19/2017 04:10:00,EDT,Wind,315.0
07/19/2017 04:10:00,EDT,Hydro,2824.0
07/19/2017 04:15:00,EDT,Dual Fuel,3103.0
07/19/2017 04:15:00,EDT,Natural Gas,3036.0
07/19/2017 04:15:00,EDT,Nuclear,5280.0
07/19/2017 04:15:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:15:00,EDT,Other Renewables,291.0
07/19/2017 04:15:00,EDT,Wind,322.0
07/19/2017 04:15:00,EDT,Hydro,2818.0
07/19/2017 04:20:00,EDT,Dual Fuel,3115.0
07/19/2017 04:20:00,EDT,Natural Gas,3065.0
07/19/2017 04:20:00,EDT,Nuclear,5281.0
07/19/2017 04:20:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:20:00,EDT,Other Renewables,287.0
07/19/2017 04:20:00,EDT,Wind,324.0
07/19/2017 04:20:00,EDT,Hydro,2806.0
07/19/2017 04:25:00,EDT,Dual Fuel,3131.0
07/19/2017 04:25:00,EDT,Natural Gas,3087.0
