"BA Code","Timestamp (Hour Ending)","AEC Interchange (MWh)","AECI Interchange (MWh)","GLHB Interchange (MWh)","IESO Interchange (MWh)","LGEE Interchange (MWh)","MHEB Interchange (MWh)","PJM Interchange (MWh)","SOCO Interchange (MWh)","SPA Interchange (MWh)","SWPP Interchange (MWh)","TVA Interchange (MWh)"
MISO,"2/6/2021 4 p.m. CST",-24,-574,-160,-929,72,-109,-2149,-690,-574,851,1660
MISO,"2/6/2021 5 p.m. CST",-14,-568,-163,-850,82,-50,-2363,-551,-610,939,1619
MISO,"2/6/2021 6 p.m. CST",2,-346,-174,-923,41,-44,-2705,-465,-486,1182,1441
MISO,"2/6/2021 7 p.m. CST",1,-232,-177,-876,40,-11,-3474,-521,-462,1184,1474
MISO,"2/6/2021 8 p.m. CST",2,-153,-114,-965,109,40,-3906,-534,-471,1340,1604
MISO,"2/6/2021 9 p.m. CST",6,-84,-87,-599,198,-155,-4052,-478,-474,1102,1715
MISO,"2/6/2021 10 p.m. CST",9,-50,-89,-846,275,-131,-3704,-469,-404,805,1796
MISO,"2/6/2021 11 p.m. CST",-2,-107,-93,-881,270,-34,-3571,-496,-352,888,1791
MISO,"2/7/2021 12 a.m. CST",3,-71,-101,-751,265,-108,-3979,-577,-326,847,1697
MISO,"2/7/2021 1 a.m. CST",10,-90,-102,-732,306,-172,-4166,-603,-312,707,1677
MISO,"2/7/2021 2 a.m. CST",9,-85,-100,-701,290,-145,-4125,-554,-305,542,1573
MISO,"2/7/2021 3 a.m. CST",12,76,-105,-765,262,-162,-4042,-586,-283,608,1491
MISO,"2/7/2021 4 a.m. CST",8,120,-107,-781,203,-177,-4067,-590,-271,974,1395
MISO,"2/7/2021 5 a.m. CST",7,183,-114,-934,88,-122,-3922,-598,-257,1118,1175
MISO,"2/7/2021 6 a.m. CST",7,198,-112,-1075,101,-8,-4035,-601,-238,1133,1186
MISO,"2/7/2021 7 a.m. CST",8,182,-116,-1213,118,-259,-3803,-618,-305,1337,973
MISO,"2/7/2021 8 a.m. CST",11,193,-121,-1157,59,-136,-3734,-581,-343,1111,947
MISO,"2/7/2021 9 a.m. CST",11,249,-122,-1218,-21,-137,-4330,-529,-346,1328,802
MISO,"2/7/2021 10 a.m. CST",16,232,-122,-1174,-103,-166,-4572,-403,-317,1105,793
MISO,"2/7/2021 11 a.m. CST",19,207,-133,-791,-183,-188,-4911,-527,-292,1458,613
MISO,"2/7/2021 12 p.m. CST",24,97,-135,-874,-108,-283,-4849,-514,-218,1245,678
