datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Gas,26591.8,0.38,False
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Hydro,1074.9,0.02,True
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Multiple Fuels,385.2,0.01,False
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Nuclear,27243.2,0.39,False
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Oil,219.4,0.00,False
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Other,30.9,0.00,False
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Other Renewables,496.2,0.01,True
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Solar,0.0,0.00,True
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Storage,0.0,0.00,False
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Wind,4593.6,0.06,True
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Coal,11140.2,0.15,False
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Gas,27812.4,0.38,False
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Hydro,1465.4,0.02,True
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Multiple Fuels,721.8,0.01,False
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Nuclear,27240.5,0.37,False
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Oil,214.9,0.00,False
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Other,29.5,0.00,False
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Other Renewables,493.3,0.01,True
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Solar,0.0,0.00,True
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Storage,0.0,0.00,False
4/12/2020 2:00:00 AM,4/11/2020 10:00:00 PM,Wind,4142.6,0.06,True
4/12/2020 1:00:00 AM,4/11/2020 9:00:00 PM,Coal,11277.4,0.15,False
4/12/2020 1:00:00 AM,4/11/2020 9:00:00 PM,Gas,29667.1,0.39,False
4/12/2020 1:00:00 AM,4/11/2020 9:00:00 PM,Hydro,2213.9,0.03,True
4/12/2020 1:00:00 AM,4/11/2020 9:00:00 PM,Multiple Fuels,721.4,0.01,False
