LMP,Load,temperature
23.78,46170.69,17.20
22.37,45409.13,17.00
20.80,43683.65,16.00
19.29,42127.58,13.00
20.44,41215.00,11.40
22.68,41096.23,10.80
23.41,41473.06,10.10
29.16,42386.99,9.50
32.24,44125.24,9.00
33.20,47237.54,8.50
35.05,51664.67,7.40
53.71,53793.52,6.60
126.53,53291.49,5.80
67.75,52010.09,5.30
42.08,50477.25,4.90
45.39,48765.69,4.10
38.92,46901.39,3.40
36.12,45389.65,3.30
30.94,44199.80,4.80
29.20,43575.90,6.80
26.56,44088.88,8.90
31.15,45901.03,10.80
39.21,48554.55,12.30
37.72,48963.00,13.50
40.83,48606.33,14.10
38.37,47286.98,14.00
36.09,44974.27,13.20
30.87,42887.95,9.80
30.82,41631.32,8.00
28.17,41027.98,7.40
27.60,40876.74,6.80
27.27,41134.54,6.20
28.51,42347.84,5.40
28.81,45041.28,4.70
36.43,48928.76,4.00
42.81,50764.08,3.60
44.34,50014.77,3.30
41.37,48552.66,3.00
41.33,47220.92,2.50
38.84,45777.40,2.40
35.65,44278.65,2.00
30.21,43196.07,2.80
27.86,42256.91,5.30
25.42,41667.44,8.70
25.24,41936.80,12.30
27.19,43331.09,14.50
35.48,45566.69,15.60
29.49,46043.67,16.20
27.92,45929.37,16.20
25.39,44961.22,15.50
25.11,43207.53,14.10
28.11,41525.60,11.90
26.31,40575.36,10.50
23.78,40254.95,9.60
25.69,40556.96,9.00
25.71,41430.21,8.60
25.34,43083.33,8.10
25.38,46120.18,7.70
32.36,50452.50,7.60
71.26,52864.39,7.70
39.36,52456.82,7.50
32.71,51025.27,6.90
37.35,49164.17,6.30
27.07,47271.52,6.00
23.71,45597.75,5.50
22.08,44282.55,5.50
20.82,43104.48,7.20
19.83,42307.03,9.70
18.95,42243.69,11.40
24.45,43278.18,12.70
43.72,45868.56,13.70
61.68,46809.45,14.20
110.54,47248.08,14.20
87.54,47182.81,13.90
62.18,46382.63,12.90
44.19,45628.78,9.50
83.37,45036.03,7.40
55.23,45132.24,6.70
43.96,45496.49,5.90
40.89,46150.09,5.10
41.01,47266.60,4.10
38.49,48851.88,3.40
44.92,50992.75,2.80
86.79,52844.43,2.40
72.51,52449.90,2.20
34.09,50042.82,2.00
37.01,46968.42,1.90
29.15,44220.19,1.80
26.08,41900.91,1.90
24.26,40019.07,2.60
18.93,38721.20,5.30
18.25,38083.51,8.60
22.69,38005.01,12.80
25.34,38659.68,14.50
40.55,40878.93,15.50
35.08,41672.01,16.20
30.69,41971.38,16.40
27.63,42071.88,16.10
24.21,41618.50,14.80
26.42,40970.31,10.40
25.78,40424.91,8.20
22.93,40184.78,7.80
26.07,40390.20,7.60
23.51,40878.78,7.10
26.54,41656.76,6.50
30.44,42830.00,5.90
34.38,44610.85,5.20
44.56,46361.57,4.70
48.88,46313.56,4.40
33.21,44575.96,4.10
35.59,42291.09,3.70
30.40,40551.52,3.60
29.41,39211.23,3.50
25.27,38303.80,4.80
23.09,37725.61,7.20
23.45,37559.75,10.40
23.93,37648.60,14.50
32.15,38713.87,17.30
39.30,40822.68,18.60
34.89,41379.12,19.30
31.70,40861.83,19.50
32.73,40164.06,19.10
30.37,38374.24,17.60
26.83,36589.71,13.20
21.67,35370.60,11.30
13.27,34815.10,10.80
13.92,34686.92,10.50
21.44,34899.39,10.20
26.61,35953.09,9.60
25.68,38281.54,9.40
34.98,41775.69,9.30
59.67,43486.41,9.30
386.81,43161.02,9.40
60.59,42903.76,10.00
46.51,42513.51,10.70
34.47,42101.03,11.40
30.95,41893.11,11.80
30.58,41716.63,12.70
25.44,41328.69,14.30
21.84,41146.70,15.70
22.89,41502.93,17.40
25.65,42294.99,18.90
37.41,43699.99,19.70
29.97,43645.07,19.60
24.60,42930.13,18.80
22.48,41411.68,17.60
21.40,39102.06,16.10
20.93,37023.44,14.90
13.80,35524.34,14.30
11.73,34668.94,14.00
11.80,34380.21,13.90
13.03,34408.79,13.80
13.91,35148.21,13.70
19.22,37157.43,13.80
20.81,40325.01,13.80
26.61,41865.51,14.00
21.76,41784.30,13.90
23.77,41697.67,13.50
25.71,41417.99,13.40
25.33,40968.73,13.40
23.59,40490.32,13.20
23.97,40179.88,13.40
22.35,39900.62,14.00
22.50,39656.86,14.70
22.51,39809.36,16.30
26.16,40406.85,17.80
33.56,41960.28,18.80
29.76,42172.26,19.40
26.00,41529.20,19.50
23.90,40217.90,19.30
0.14,38309.04,18.70
0.06,36300.08,16.90
13.99,34896.66,15.90
-3.90,34138.53,15.30
-23.54,33854.32,14.50
-25.70,33911.28,13.80
-30.51,34785.41,13.00
-10.84,36980.10,12.60
-2.49,40507.55,12.20
8.79,42588.23,11.70
12.58,43168.40,11.20
0.97,43919.04,10.80
9.02,44664.06,10.50
21.87,45220.18,10.10
20.54,45692.42,10.20
21.25,46128.63,11.50
2.29,46401.13,14.20
4.66,46819.46,16.20
14.68,48194.22,19.20
24.27,50245.72,21.30
26.80,52120.57,21.90
26.00,52514.98,22.30
25.86,52229.60,22.40
25.56,51404.04,21.90
23.40,49859.02,20.60
18.13,48352.15,18.70
16.47,47378.42,17.80
16.47,47267.71,17.20
16.55,47920.75,16.80
17.16,49062.52,16.40
17.28,50691.34,15.70
20.23,53172.24,14.10
23.94,56410.41,11.80
27.25,58936.53,9.40
32.48,60475.00,7.60
36.94,62107.92,6.50
37.50,63301.57,6.00
37.04,63957.92,5.60
40.78,64084.70,5.00
38.80,63956.77,4.40
36.92,63729.20,4.20
39.10,63915.13,4.40
36.05,64716.24,4.70
43.73,66144.66,5.10
58.34,67889.60,5.50
61.68,67887.01,5.10
57.18,67343.38,4.00
55.51,66241.90,2.90
43.79,64473.30,1.80
41.39,63130.06,0.80
34.93,62267.49,0.10
33.96,61918.14,-0.30
35.65,61931.50,-0.60
40.08,62101.66,-0.90
39.85,62800.14,-1.30
44.12,64306.88,-1.80
51.27,66216.72,-2.30
56.77,67822.82,-2.70
55.72,68650.42,-3.20
51.27,68954.45,-3.60
53.80,67992.09,-3.90
51.18,66082.78,-4.00
41.69,63779.25,-4.20
36.14,61345.44,-3.90
29.37,59204.19,-2.50
24.95,57666.18,-0.90
24.79,57154.30,0.30
33.89,58154.85,1.60
60.52,60634.45,2.50
71.14,61173.47,3.10
72.56,61035.37,3.50
64.71,60487.61,3.50
59.62,59449.88,2.80
57.69,58394.24,1.60
47.01,57715.46,0.70
46.89,57620.69,0.00
46.90,57851.81,-0.70
47.01,58404.59,-1.20
50.21,59464.43,-1.50
52.24,60938.32,-1.80
57.55,62789.17,-2.30
59.77,64183.32,-3.00
57.56,63065.72,-3.40
34.93,60082.64,-3.70
30.90,56461.90,-4.00
27.07,53189.04,-4.20
19.41,50195.02,-4.50
3.96,47557.49,-3.60
0.00,45293.56,-0.90
-0.01,43792.80,3.10
-0.01,43525.68,5.60
0.00,45034.38,7.40
24.76,48636.14,8.70
22.48,50807.28,9.70
17.49,52079.57,10.10
25.17,52618.99,10.10
25.15,52280.20,9.60
25.48,51797.68,8.10
28.66,51515.92,6.80
27.10,51636.45,5.60
27.91,52039.34,4.10
28.87,52568.78,2.60
30.01,53340.63,1.50
31.34,54451.12,0.80
32.43,55905.24,0.30
35.31,57085.50,0.10
34.69,55912.77,0.10
28.13,53065.74,0.20
27.98,49883.71,0.40
24.63,46832.28,0.40
23.79,44316.40,-0.10
6.20,42173.86,0.60
0.00,40760.92,3.60
0.00,39962.50,7.40
0.00,40054.12,10.60
-0.19,41456.05,12.50
28.95,44199.36,13.90
25.99,45668.93,14.60
25.63,46229.71,14.80
26.07,45944.93,14.40
24.78,44648.72,13.60
25.07,43332.18,11.70
25.58,42482.14,10.10
26.57,42242.92,8.90
