,0
1476,Wharton
1477,Harris
1478,Calhoun
1479,Galveston
1480,Galveston
1481,Galveston
1482,Harris
1483,Chambers
1484,Chambers
1485,Chambers
1486,Chambers
1487,Chambers
1488,Chambers
1489,Chambers
1490,Galveston
1491,Galveston
1492,Brazoria
1493,Harris
1494,Fort Bend
1495,Fort Bend
1496,Harris
1497,Montgomery
1498,Brazoria
1499,Harris
1500,Harris
1501,Harris
1502,Matagorda
1503,Matagorda
1504,Matagorda
1505,Matagorda
1506,Matagorda
1507,Harris
1508,Harris
1509,Harris
1510,Harris
1511,Harris
1512,Harris
1513,Harris
1514,Harris
1515,Harris
1516,Harris
1517,Harris
1518,Harris
1519,Harris
1520,Harris
1521,Harris
1522,Harris
1523,Austin
1524,Harris
1525,Harris
1526,Harris
1527,Harris
1528,Harris
1529,Harris
1530,Calhoun
1531,Harris
1532,Fort Bend
1533,Fort Bend
1534,Fort Bend
1535,Montgomery
1536,Jackson
1537,Harris
1538,Harris
1539,Harris
1540,Harris
1541,Harris
1542,Harris
1543,Harris
1544,Harris
1545,Harris
1546,Harris
1547,Harris
1548,Harris
1549,Harris
1550,Montgomery
1551,Harris
1552,Harris
1553,Harris
1554,Harris
1555,Harris
1556,Victoria
1557,Montgomery
1558,Montgomery
1559,Harris
1560,Matagorda
1561,Montgomery
1562,Harris
1563,Harris
1564,Harris
1565,Harris
1566,Harris
1567,Harris
1568,Harris
1569,Harris
1570,Harris
1571,Harris
1572,Harris
1573,Harris
1574,Harris
1575,Harris
1576,Harris
1577,Harris
1578,Galveston
1579,Galveston
1580,Harris
1581,Harris
1582,Harris
1583,Harris
1584,Harris
1585,Harris
1586,Fort Bend
1587,Harris
1588,Harris
1589,Waller
1590,Harris
1591,Fort Bend
1592,Fort Bend
1593,Harris
1594,Harris
1595,Harris
1596,Harris
1597,Harris
1598,Harris
1599,Harris
1600,Harris
1601,Harris
1602,Harris
1603,Harris
1604,Harris
1605,Harris
1606,Harris
1607,Harris
1608,Harris
1609,Waller
1610,Brazoria
1611,Chambers
1612,Chambers
1613,Chambers
1614,Chambers
1615,Chambers
1616,Chambers
1617,Chambers
1618,Chambers
1619,Chambers
1620,Galveston
1621,Harris
1622,Montgomery
1623,Harris
1624,Harris
1625,Montgomery
1626,Wharton
1627,Harris
1628,Harris
1629,Harris
1630,Harris
1631,Harris
1632,Harris
1633,Harris
1634,Harris
1635,Harris
1636,Harris
1637,Fort Bend
1638,Harris
1639,Galveston
1640,Waller
1641,Montgomery
1642,Harris
1643,Harris
1644,Fort Bend
1645,Liberty
1646,Chambers
1647,Harris
1648,Harris
1649,Harris
1650,Harris
1651,Brazoria
1652,Harris
1653,Harris
1654,Brazoria
1655,Harris
1656,Harris
1657,Harris
1658,Harris
1659,Brazoria
1660,Brazoria
1661,Montgomery
1662,Harris
1663,Fort Bend
1664,Brazoria
1665,Harris
1666,Harris
1667,Harris
1668,Matagorda
1669,Matagorda
1670,Harris
1671,Harris
1672,Harris
1673,Harris
1674,Harris
1675,Harris
1676,Harris
1677,Harris
1678,Waller
1679,Harris
1680,Galveston
1681,Goliad
1682,Goliad
1683,Harris
1684,Jackson
1685,Harris
1686,Harris
1687,Harris
1688,Harris
1689,Harris
1690,Harris
1691,Harris
1692,Harris
1693,Harris
1694,Harris
1695,Harris
1696,Harris
1697,Harris
1698,Harris
1699,Harris
1700,Galveston
1701,Galveston
1702,Harris
1703,Harris
1704,Harris
1705,Harris
1706,Colorado
1707,Montgomery
1708,Harris
1709,Matagorda
1710,Jackson
1711,Wharton
1712,Wharton
1713,Wharton
1714,Wharton
1715,Wharton
1716,Wharton
1717,Wharton
1718,Wharton
1719,Brazoria
1720,Brazoria
1721,Austin
1722,Harris
1723,Harris
1724,Galveston
1725,Harris
1726,Harris
1727,Brazoria
1728,Brazoria
1729,Brazoria
1730,Brazoria
1731,Brazoria
1732,Brazoria
