"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20201203.csv"
"C","Report for 12/03/2020"
"C","Report generated 12/10/2020 02:30:01 EST"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","12/03/2020","07:03:53","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","07:03:53","Refuse","Renewables",319,"No"
"D","12/03/2020","07:03:53","Solar","Renewables",2,"No"
"D","12/03/2020","07:03:53","Wind","Renewables",609,"No"
"D","12/03/2020","07:03:53","Wood","Renewables",306,"No"
"D","12/03/2020","07:11:00","Hydro","Hydro",1974,"No"
"D","12/03/2020","07:11:00","Natural Gas","Natural Gas",5060,"Yes"
"D","12/03/2020","07:11:00","Nuclear","Nuclear",3348,"No"
"D","12/03/2020","07:11:00","Other","Other",7,"No"
"D","12/03/2020","07:11:00","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","07:11:00","Refuse","Renewables",324,"No"
"D","12/03/2020","07:11:00","Solar","Renewables",4,"No"
"D","12/03/2020","07:11:00","Wind","Renewables",612,"No"
"D","12/03/2020","07:11:00","Wood","Renewables",307,"No"
"D","12/03/2020","07:23:28","Hydro","Hydro",2110,"No"
"D","12/03/2020","07:23:28","Natural Gas","Natural Gas",5079,"Yes"
"D","12/03/2020","07:23:28","Nuclear","Nuclear",3350,"No"
"D","12/03/2020","07:23:28","Other","Other",5,"No"
"D","12/03/2020","07:23:28","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","07:23:28","Refuse","Renewables",320,"No"
"D","12/03/2020","07:23:28","Solar","Renewables",9,"No"
"D","12/03/2020","07:23:28","Wind","Renewables",620,"No"
"D","12/03/2020","07:23:28","Wood","Renewables",306,"No"
"D","12/03/2020","07:31:22","Hydro","Hydro",2077,"Yes"
"D","12/03/2020","07:31:22","Natural Gas","Natural Gas",5040,"No"
"D","12/03/2020","07:31:22","Nuclear","Nuclear",3347,"No"
"D","12/03/2020","07:31:22","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","07:31:22","Refuse","Renewables",318,"No"
"D","12/03/2020","07:31:22","Solar","Renewables",14,"No"
"D","12/03/2020","07:31:22","Wind","Renewables",631,"No"
"D","12/03/2020","07:31:22","Wood","Renewables",307,"No"
"D","12/03/2020","07:43:53","Hydro","Hydro",2071,"No"
"D","12/03/2020","07:43:53","Natural Gas","Natural Gas",4990,"Yes"
"D","12/03/2020","07:43:53","Nuclear","Nuclear",3348,"No"
"D","12/03/2020","07:43:53","Oil","Oil",28,"No"
"D","12/03/2020","07:43:53","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","07:43:53","Refuse","Renewables",317,"No"
"D","12/03/2020","07:43:53","Solar","Renewables",26,"No"
"D","12/03/2020","07:43:53","Wind","Renewables",624,"No"
"D","12/03/2020","07:43:53","Wood","Renewables",307,"No"
"D","12/03/2020","07:55:32","Hydro","Hydro",1895,"Yes"
"D","12/03/2020","07:55:32","Natural Gas","Natural Gas",4910,"No"
"D","12/03/2020","07:55:32","Nuclear","Nuclear",3348,"No"
"D","12/03/2020","07:55:32","Oil","Oil",41,"No"
"D","12/03/2020","07:55:32","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","07:55:32","Refuse","Renewables",323,"No"
"D","12/03/2020","07:55:32","Solar","Renewables",36,"No"
"D","12/03/2020","07:55:32","Wind","Renewables",600,"No"
"D","12/03/2020","07:55:32","Wood","Renewables",307,"No"
"D","12/03/2020","08:01:51","Hydro","Hydro",1871,"No"
"D","12/03/2020","08:01:51","Natural Gas","Natural Gas",4975,"Yes"
"D","12/03/2020","08:01:51","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","08:01:51","Oil","Oil",40,"No"
