"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20200609.csv"
"C","Report for 06/09/2020"
"C","Report generated 06/15/2020 01:54:20 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","06/09/2020","06:10:29","Natural Gas","Natural Gas",4595,"Yes"
"D","06/09/2020","06:10:29","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","06:10:29","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","06:10:29","Refuse","Renewables",319,"No"
"D","06/09/2020","06:10:29","Solar","Renewables",7,"No"
"D","06/09/2020","06:10:29","Wind","Renewables",186,"No"
"D","06/09/2020","06:10:29","Wood","Renewables",253,"No"
"D","06/09/2020","06:19:55","Hydro","Hydro",419,"No"
"D","06/09/2020","06:19:55","Natural Gas","Natural Gas",4590,"Yes"
"D","06/09/2020","06:19:55","Nuclear","Nuclear",2062,"No"
"D","06/09/2020","06:19:55","Other","Other",2,"No"
"D","06/09/2020","06:19:55","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","06:19:55","Refuse","Renewables",315,"No"
"D","06/09/2020","06:19:55","Solar","Renewables",11,"No"
"D","06/09/2020","06:19:55","Wind","Renewables",189,"No"
"D","06/09/2020","06:19:55","Wood","Renewables",254,"No"
"D","06/09/2020","06:26:56","Hydro","Hydro",417,"No"
"D","06/09/2020","06:26:56","Natural Gas","Natural Gas",4704,"Yes"
"D","06/09/2020","06:26:56","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","06:26:56","Other","Other",1,"No"
"D","06/09/2020","06:26:56","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","06:26:56","Refuse","Renewables",317,"No"
"D","06/09/2020","06:26:56","Solar","Renewables",13,"No"
"D","06/09/2020","06:26:56","Wind","Renewables",176,"No"
"D","06/09/2020","06:26:56","Wood","Renewables",251,"No"
"D","06/09/2020","06:41:33","Hydro","Hydro",374,"No"
"D","06/09/2020","06:41:33","Natural Gas","Natural Gas",4881,"Yes"
"D","06/09/2020","06:41:33","Nuclear","Nuclear",2067,"No"
"D","06/09/2020","06:41:33","Other","Other",1,"No"
"D","06/09/2020","06:41:33","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","06:41:33","Refuse","Renewables",321,"No"
"D","06/09/2020","06:41:33","Solar","Renewables",19,"No"
"D","06/09/2020","06:41:33","Wind","Renewables",187,"No"
"D","06/09/2020","06:41:33","Wood","Renewables",246,"No"
"D","06/09/2020","06:51:05","Hydro","Hydro",374,"No"
"D","06/09/2020","06:51:05","Natural Gas","Natural Gas",5012,"Yes"
"D","06/09/2020","06:51:05","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","06:51:05","Other","Other",1,"No"
"D","06/09/2020","06:51:05","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","06:51:05","Refuse","Renewables",321,"No"
"D","06/09/2020","06:51:05","Solar","Renewables",21,"No"
"D","06/09/2020","06:51:05","Wind","Renewables",191,"No"
"D","06/09/2020","06:51:05","Wood","Renewables",248,"No"
"D","06/09/2020","06:59:26","Hydro","Hydro",353,"No"
"D","06/09/2020","06:59:26","Natural Gas","Natural Gas",5072,"Yes"
"D","06/09/2020","06:59:26","Nuclear","Nuclear",2067,"No"
"D","06/09/2020","06:59:26","Other","Other",2,"No"
"D","06/09/2020","06:59:26","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","06:59:26","Refuse","Renewables",323,"No"
"D","06/09/2020","06:59:26","Solar","Renewables",23,"No"
"D","06/09/2020","06:59:26","Wind","Renewables",201,"No"
"D","06/09/2020","06:59:26","Wood","Renewables",253,"No"
"D","06/09/2020","07:06:16","Hydro","Hydro",355,"No"
"D","06/09/2020","07:06:16","Natural Gas","Natural Gas",5243,"Yes"
"D","06/09/2020","07:06:16","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","07:06:16","Other","Other",1,"No"
"D","06/09/2020","07:06:16","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","07:06:16","Refuse","Renewables",322,"No"
"D","06/09/2020","07:06:16","Solar","Renewables",28,"No"
"D","06/09/2020","07:06:16","Wind","Renewables",192,"No"
"D","06/09/2020","07:06:16","Wood","Renewables",253,"No"
"D","06/09/2020","07:11:10","Hydro","Hydro",357,"No"
"D","06/09/2020","07:11:10","Natural Gas","Natural Gas",5319,"Yes"
"D","06/09/2020","07:11:10","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","07:11:10","Other","Other",1,"No"
"D","06/09/2020","07:11:10","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","07:11:10","Refuse","Renewables",321,"No"
"D","06/09/2020","07:11:10","Solar","Renewables",28,"No"
"D","06/09/2020","07:11:10","Wind","Renewables",194,"No"
"D","06/09/2020","07:11:10","Wood","Renewables",250,"No"
"D","06/09/2020","07:22:07","Hydro","Hydro",362,"No"
"D","06/09/2020","07:22:07","Natural Gas","Natural Gas",5458,"Yes"
"D","06/09/2020","07:22:07","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","07:22:07","Other","Other",1,"No"
"D","06/09/2020","07:22:07","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","07:22:07","Refuse","Renewables",318,"No"
"D","06/09/2020","07:22:07","Solar","Renewables",33,"No"
"D","06/09/2020","07:22:07","Wind","Renewables",185,"No"
"D","06/09/2020","07:22:07","Wood","Renewables",250,"No"
"D","06/09/2020","07:38:40","Hydro","Hydro",361,"No"
"D","06/09/2020","07:38:40","Natural Gas","Natural Gas",5693,"Yes"
"D","06/09/2020","07:38:40","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","07:38:40","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","07:38:40","Refuse","Renewables",305,"No"
"D","06/09/2020","07:38:40","Solar","Renewables",44,"No"
"D","06/09/2020","07:38:40","Wind","Renewables",182,"No"
"D","06/09/2020","07:38:40","Wood","Renewables",250,"No"
"D","06/09/2020","07:53:49","Hydro","Hydro",360,"No"
"D","06/09/2020","07:53:49","Natural Gas","Natural Gas",5808,"Yes"
