Date,LMP,Node
1/18/2017 10:00:00 AM,33.93,.Z.CONNECTICUT
1/18/2017 10:00:00 AM,33.84,.Z.MAINE
1/18/2017 10:00:00 AM,33.78,.Z.NEMASSBOST
1/18/2017 10:00:00 AM,33.98,.Z.NEWHAMPSHIRE
1/18/2017 10:00:00 AM,33.63,.Z.RHODEISLAND
1/18/2017 10:00:00 AM,33.69,.Z.SEMASS
1/18/2017 10:00:00 AM,33.49,.Z.VERMONT
1/18/2017 10:00:00 AM,34.01,.Z.WCMASS
1/18/2017 11:00:00 AM,33.44,.Z.CONNECTICUT
1/18/2017 11:00:00 AM,33.36,.Z.MAINE
1/18/2017 11:00:00 AM,33.24,.Z.NEMASSBOST
1/18/2017 11:00:00 AM,33.48,.Z.NEWHAMPSHIRE
1/18/2017 11:00:00 AM,33.14,.Z.RHODEISLAND
1/18/2017 11:00:00 AM,33.19,.Z.SEMASS
1/18/2017 11:00:00 AM,33.6,.Z.VERMONT
1/18/2017 11:00:00 AM,33.5,.Z.WCMASS
1/18/2017 12:00:00 PM,32.18,.Z.CONNECTICUT
1/18/2017 12:00:00 PM,31.92,.Z.MAINE
1/18/2017 12:00:00 PM,32,.Z.NEMASSBOST
1/18/2017 12:00:00 PM,32.21,.Z.NEWHAMPSHIRE
1/18/2017 12:00:00 PM,31.92,.Z.RHODEISLAND
1/18/2017 12:00:00 PM,31.96,.Z.SEMASS
1/18/2017 12:00:00 PM,32.4,.Z.VERMONT
1/18/2017 12:00:00 PM,32.25,.Z.WCMASS
1/18/2017 1:00:00 PM,31.39,.Z.CONNECTICUT
1/18/2017 1:00:00 PM,31.14,.Z.MAINE
1/18/2017 1:00:00 PM,31.2,.Z.NEMASSBOST
1/18/2017 1:00:00 PM,31.46,.Z.NEWHAMPSHIRE
1/18/2017 1:00:00 PM,31.15,.Z.RHODEISLAND
1/18/2017 1:00:00 PM,31.16,.Z.SEMASS
1/18/2017 1:00:00 PM,31.82,.Z.VERMONT
1/18/2017 1:00:00 PM,31.46,.Z.WCMASS
1/18/2017 2:00:00 PM,30.81,.Z.CONNECTICUT
1/18/2017 2:00:00 PM,30.63,.Z.MAINE
1/18/2017 2:00:00 PM,30.66,.Z.NEMASSBOST
1/18/2017 2:00:00 PM,30.9,.Z.NEWHAMPSHIRE
1/18/2017 2:00:00 PM,30.58,.Z.RHODEISLAND
1/18/2017 2:00:00 PM,30.58,.Z.SEMASS
1/18/2017 2:00:00 PM,30.79,.Z.VERMONT
1/18/2017 2:00:00 PM,30.89,.Z.WCMASS
1/18/2017 3:00:00 PM,30.11,.Z.CONNECTICUT
