"BA Code","Timestamp (Hour Ending)","AEPW American Electric Power West Demand (MWh)","City of Springfield Demand (MWh)","Empire District Electric Company Demand (MWh)","Grand River Dam Authority Demand (MWh)","Independence Power & Light Demand (MWh)","KCP&L Greater Missouri Operations Demand (MWh)","Kansas City Board of Public Utilities Demand (MWh)","Kansas City Power & Light Demand (MWh)","Lincoln Electric System Demand (MWh)","Nebraska Public Power District Demand (MWh)","Oklahoma Gas and Electric Co. Demand (MWh)","Omaha Public Power District Demand (MWh)","Southwestern Public Service Company Demand (MWh)","Sunflower Electric Demand (MWh)","Westar Energy Demand (MWh)","Western Area Power Upper Great Plains East Demand (MWh)","Western Farmers Electric Cooperative Demand (MWh)"
SWPP,"2/5/2021 10 p.m. CST",5287,359,635,759,126,1180,280,1930,430,2064,3587,1529,3435,601,3590,4248,1072
SWPP,"2/5/2021 11 p.m. CST",5171,347,623,801,121,1140,275,1870,411,2011,3477,1476,3416,592,3470,4171,1048
SWPP,"2/6/2021 12 a.m. CST",5007,333,609,793,116,1108,268,1804,392,1931,3386,1421,3395,583,3343,4131,1025
SWPP,"2/6/2021 1 a.m. CST",4856,322,601,780,112,1085,264,1762,381,1947,3323,1379,3331,565,3272,4099,1006
SWPP,"2/6/2021 2 a.m. CST",4763,318,603,769,111,1071,260,1752,374,1894,3260,1357,3306,549,3233,4090,995
SWPP,"2/6/2021 3 a.m. CST",4694,316,607,773,110,1073,258,1755,368,1902,3234,1341,3299,540,3225,4100,1004
SWPP,"2/6/2021 4 a.m. CST",4688,318,609,769,111,1089,259,1772,367,1924,3224,1333,3321,537,3241,4105,1007
SWPP,"2/6/2021 5 a.m. CST",4726,324,617,773,113,1115,261,1802,371,1952,3244,1350,3354,539,3287,4123,1006
SWPP,"2/6/2021 6 a.m. CST",4849,332,636,781,117,1147,264,1854,384,1988,3282,1386,3409,561,3387,4193,1013
SWPP,"2/6/2021 7 a.m. CST",5032,344,658,721,121,1175,271,1933,406,2052,3372,1435,3482,579,3499,4302,1040
SWPP,"2/6/2021 8 a.m. CST",5202,353,686,707,126,1222,271,1993,429,2173,3517,1497,3557,602,3614,4447,1078
SWPP,"2/6/2021 9 a.m. CST",5354,361,699,709,129,1244,274,2037,450,2225,3632,1539,3562,608,3717,4547,1117
SWPP,"2/6/2021 10 a.m. CST",5460,367,702,711,132,1272,277,2068,467,2273,3733,1588,3549,633,3809,4553,1137
